game,home,away,home_possession,home_goals,home_xgoals,home_shots,home_shotsontarget,home_passes,home_passaccuracy,home_fouls,home_yellows,home_reds,home_offsides,home_corners,away_possession,away_goals,away_xgoals,away_shots,away_shotsontarget,away_passes,away_passaccuracy,away_fouls,away_yellows,away_reds,away_offsides,away_corners,game_type,home_penalties,away_penalties
22,france,peru,0.43,1,,12,4,396,0.77,11,2,0,0,5,0.57,0,,10,2,513,0.81,15,2,0,1,3,group,,
23,argentina,croatia,0.58,0,,10,3,499,0.79,16,3,0,3,5,0.42,3,,14,5,367,0.75,22,4,0,3,2,group,,
24,brazil,costa rica,0.72,2,,22,10,705,0.91,11,2,0,3,9,0.28,0,,3,0,280,0.70,11,1,0,3,1,group,,
25,nigeria,iceland,0.62,2,,16,4,488,0.80,9,1,0,1,6,0.38,0,,9,3,303,0.70,10,0,0,0,5,group,,
26,serbia,switzerland,0.37,1,,13,3,308,0.75,17,4,0,0,3,0.63,2,,20,5,535,0.85,13,1,0,3,7,group,,
27,belgium,tunisia,0.49,5,,23,12,445,0.84,12,0,0,3,5,0.51,2,,16,5,452,0.81,13,1,0,3,2,group,,
28,south korea,mexico,0.41,1,,17,6,344,0.81,24,4,0,0,7,0.59,2,,13,5,476,0.87,7,0,0,0,5,group,,
29,germany,sweden,0.76,2,,18,6,676,0.88,12,0,1,5,8,0.24,1,,7,5,222,0.69,13,2,0,2,3,group,,
30,england,panama,0.60,6,,11,7,594,0.92,13,1,0,3,3,0.40,1,,8,2,393,0.88,13,3,0,0,2,group,,
31,japan,senegal,0.57,2,,7,3,462,0.79,8,2,0,2,2,0.43,2,,15,7,339,0.75,15,3,0,4,5,group,,
32,poland,colombia,0.45,0,,9,2,421,0.76,15,2,0,1,7,0.55,3,,13,4,505,0.83,10,0,0,1,5,group,,
33,saudi arabia,egypt,0.65,2,,23,8,647,0.89,7,0,0,1,7,0.35,1,,7,1,362,0.79,16,2,0,3,2,group,,
34,uruguay,russia,0.58,3,,16,6,492,0.84,17,1,0,0,4,0.42,0,,3,1,356,0.78,18,1,1,2,2,group,,
35,iran,portugal,0.74,1,,7,2,213,0.65,16,2,0,1,1,0.74,1,,14,4,608,0.86,11,4,0,1,5,group,,
36,spain,morocco,0.75,2,,18,5,742,0.91,5,0,0,1,7,0.25,2,,6,3,245,0.77,17,6,0,1,1,group,,
37,australia,peru,0.58,0,,14,2,526,0.87,14,4,0,3,8,0.42,2,,4,3,409,0.80,12,2,0,1,3,group,,
38,denmark,france,0.32,0,,5,2,322,0.70,10,1,0,1,4,0.68,0,,11,3,657,0.87,10,0,0,1,2,group,,
39,nigeria,argentina,0.33,1,,9,3,283,0.65,20,2,0,0,3,0.67,2,,8,4,572,0.82,15,3,0,2,5,group,,
40,iceland,croatia,0.38,1,,16,6,314,0.71,10,3,0,1,10,0.62,2,,14,2,518,0.86,11,2,0,2,5,group,,
41,mexico,sweden,0.67,0,,20,3,472,0.82,14,3,0,2,7,0.33,3,,15,5,241,0.60,11,2,0,0,3,group,,
42,south korea,germany,0.26,2,,12,5,248,0.70,16,4,0,0,3,0.74,0,,28,6,698,0.89,7,0,0,1,9,group,,
43,switzerland,costa rica,0.63,2,,13,3,565,0.86,9,3,0,1,6,0.37,2,,14,6,341,0.78,14,3,0,1,5,group,,
44,serbia,brazil,0.42,0,,10,2,442,0.79,13,3,0,2,5,0.58,2,,14,6,632,0.85,7,0,0,4,9,group,,
45,senegal,colombia,0.40,0,,7,3,303,0.73,15,1,0,3,1,0.60,1,,4,2,432,0.81,15,1,0,3,3,group,,
46,japan,poland,0.55,0,,10,3,541,0.86,11,1,0,1,5,0.45,1,,11,2,457,0.83,8,0,0,0,7,group,,
47,england,belgium,0.46,0,,11,2,467,0.87,11,0,0,3,7,0.54,1,,14,4,547,0.87,14,2,0,1,2,group,,
48,panama,tunisia,0.30,1,,9,4,278,0.74,18,3,0,4,0,0.70,2,,14,6,620,0.85,19,3,0,1,6,group,,
49,france,argentina,0.39,4,,9,4,344,0.81,21,3,0,0,0,0.61,3,,10,4,512,0.86,15,5,0,1,4,round_of_16,,
50,uruguay,portugal,0.32,2,,5,3,273,0.67,13,0,0,0,2,0.68,1,,20,5,544,0.86,13,1,0,1,10,round_of_16,,
51,spain,russia,0.79,1,,23,9,1115,0.90,5,1,0,1,6,0.21,1,,7,1,291,0.65,19,2,0,1,5,round_of_16,3,4
52,croatia,denmark,0.54,1,,20,6,602,0.80,5,0,0,2,5,0.46,1,,14,3,530,0.79,19,1,0,0,4,round_of_16,3,2
53,brazil,mexico,0.48,2,,20,10,382,0.83,6,2,0,0,8,0.52,0,,14,1,408,0.86,17,4,0,2,7,round_of_16,,
54,belgium,japan,0.58,3,,24,8,595,0.86,13,0,0,1,10,0.42,2,,11,4,450,0.80,9,1,0,1,6,round_of_16,,
55,sweden,switzerland,0.32,1,,12,3,276,0.68,11,1,0,1,3,0.68,0,,18,4,558,0.86,13,2,1,0,11,round_of_16,,
56,colombia,england,0.47,1,,14,4,524,0.77,23,6,0,1,2,0.53,1,,16,2,578,0.80,13,2,0,2,7,round_of_16,3,4
57,uruguay,france,0.38,0,,11,4,310,0.63,17,2,0,0,4,0.62,2,,11,2,518,0.80,15,2,0,0,3,quarter_finals,,
58,brazil,belgium,0.59,1,,27,9,520,0.88,14,2,0,1,8,0.41,2,,9,3,376,0.80,16,2,0,0,4,quarter_finals,,
59,sweden,england,0.42,0,,6,3,368,0.72,10,2,0,2,1,0.58,2,,12,2,500,0.79,7,1,0,1,6,quarter_finals,,
60,russia,croatia,0.35,2,,13,5,400,0.64,25,1,0,1,6,0.65,2,,18,3,728,0.81,18,4,0,0,8,quarter_finals,3,4
61,france,belgium,0.36,1,,19,5,346,0.83,6,2,0,1,4,0.64,0,,9,3,594,0.91,16,3,0,1,5,semifinals,,
62,croatia,england,0.56,2,,22,7,594,0.80,23,2,0,1,8,0.44,1,,11,2,496,0.76,14,1,0,3,4,semifinals,,
63,belgium,england,0.42,2,,12,4,485,0.86,11,1,0,1,4,0.58,0,,15,6,674,0.91,4,2,0,0,5,third_place,,
64,france,croatia,0.34,4,,7,6,289,0.68,13,2,0,1,2,0.66,2,,14,4,528,0.83,13,1,0,1,6,final,,
