game,home,away,home_possession,home_goals,home_xgoals,home_shots,home_shotsontarget,home_passes,home_passaccuracy,home_fouls,home_yellows,home_reds,home_offsides,home_corners,away_possession,away_goals,away_xgoals,away_shots,away_shotsontarget,away_passes,away_passaccuracy,away_fouls,away_yellows,away_reds,away_offsides,away_corners,game_type,home_penalties,away_penalties
1,russia,saudi arabia,0.38,5,,14,7,345,0.72,22,1,0,3,6,0.62,0,,6,0,557,0.80,10,1,0,1,2,group,,
2,egypt,uruguay,0.41,0,,8,3,424,0.73,12,2,0,1,0,0.59,1,,15,5,588,0.85,6,0,0,1,5,group,,
3,morocco,iran,0.68,0,,13,3,461,0.81,22,1,0,0,5,0.32,1,,9,2,218,0.58,14,3,0,0,2,group,,
4,portugal,spain,0.33,3,,9,3,372,0.82,12,1,0,1,4,0.67,3,,13,6,759,0.92,10,1,0,3,5,group,,
5,france,australia,0.55,2,,12,5,508,0.83,16,1,0,0,5,0.45,1,,6,1,407,0.78,19,3,0,0,1,group,,
6,argentina,iceland,0.78,1,,27,7,752,0.89,10,0,0,0,10,0.22,1,,8,2,209,0.63,15,0,0,0,2,group,,
7,peru,denmark,0.54,0,,17,6,418,0.81,10,1,0,5,3,0.46,1,,10,3,364,0.79,18,2,0,3,7,group,,
8,croatia,nigeria,0.55,2,,11,2,484,0.79,10,1,0,1,6,0.45,0,,14,2,398,0.77,16,1,0,1,5,group,,
9,costa rica,serbia,0.53,0,,10,3,449,0.79,18,2,0,1,5,0.47,1,,10,3,418,0.77,15,2,0,3,4,group,,
10,germany,mexico,0.67,0,,26,9,596,0.86,10,2,0,1,8,0.33,1,,13,4,304,0.76,16,2,0,1,1,group,,
11,brazil,switzerland,0.55,1,,21,5,544,0.87,11,1,0,1,7,0.45,1,,6,2,453,0.79,19,3,0,0,2,group,,
12,sweden,south korea,0.56,1,,15,4,447,0.80,20,1,0,1,6,0.44,0,,5,0,359,0.78,23,2,0,0,5,group,,
13,belgium,panama,0.62,3,,15,6,568,0.85,17,3,0,1,9,0.38,0,,7,2,354,0.79,18,5,0,2,3,group,,
14,tunisia,england,0.39,1,,6,1,352,0.77,14,0,0,2,2,0.61,2,,18,8,531,0.86,8,1,0,3,7,group,,
15,colombia,japan,0.38,1,,8,3,377,0.77,15,2,1,2,3,0.62,2,,14,6,596,0.86,9,1,0,1,6,group,,
16,poland,senegal,0.61,1,,11,4,567,0.82,8,1,0,3,3,0.39,2,,8,2,359,0.77,15,2,0,2,3,group,,
17,russia,egypt,0.49,3,,11,3,421,0.72,11,1,0,0,7,0.51,1,,13,1,437,0.78,10,1,0,0,4,group,,
18,portugal,morocco,0.45,1,,10,2,396,0.71,19,1,0,1,5,0.55,0,,15,4,467,0.76,23,1,0,1,7,group,,
19,uruguay,saudi arabia,0.47,1,,13,3,502,0.84,10,0,0,1,3,0.53,0,,8,2,550,0.86,13,0,0,2,4,group,,
20,iran,spain,0.22,0,,7,0,216,0.64,14,2,0,2,2,0.78,1,,18,5,776,0.90,14,0,0,1,6,group,,
21,denmark,australia,0.47,1,,10,5,453,0.85,7,2,0,1,3,0.53,1,,13,4,504,0.83,5,0,0,0,5,group,,
