game,home,away,home_possession,home_goals,home_xgoals,home_shots,home_shotsontarget,home_passes,home_passaccuracy,home_fouls,home_yellows,home_reds,home_offsides,home_corners,away_possession,away_goals,away_xgoals,away_shots,away_shotsontarget,away_passes,away_passaccuracy,away_fouls,away_yellows,away_reds,away_offsides,away_corners,game_type,home_penalties,away_penalties
44,costa rica,germany,0.31,2,,7,5,337,0.74,3,1,0,4,1,0.69,4,,32,11,713,0.89,9,0,0,3,14,group,,
45,south korea,portugal,0.38,2,,13,6,357,0.78,9,2,0,1,5,0.62,1,,13,6,574,0.87,10,0,0,5,4,group,,
46,ghana,uruguay,0.51,0,,10,4,432,0.79,18,2,0,2,5,0.49,2,,12,7,433,0.77,11,5,0,2,2,group,,
47,serbia,switzerland,0.54,2,,12,4,466,0.77,18,7,0,0,2,0.46,3,,14,7,415,0.76,14,4,0,0,0,group,,
48,cameroon,brazil,0.35,1,,7,3,299,0.77,14,3,1,0,3,0.65,0,,21,7,541,0.87,14,2,0,1,11,group,,
49,netherlands,united states,,,,,,,,,,,,,,,,,,,,,,,,,round_of_16,,
50,argentina,australia,,,,,,,,,,,,,,,,,,,,,,,,,round_of_16,,
51,france,poland,,,,,,,,,,,,,,,,,,,,,,,,,round_of_16,,
52,england,senegal,,,,,,,,,,,,,,,,,,,,,,,,,round_of_16,,
53,japan,croatia,,,,,,,,,,,,,,,,,,,,,,,,,round_of_16,,
54,brazil,south korea,,,,,,,,,,,,,,,,,,,,,,,,,round_of_16,,
55,morocco,spain,,,,,,,,,,,,,,,,,,,,,,,,,round_of_16,,
56,portugal,switzerland,,,,,,,,,,,,,,,,,,,,,,,,,round_of_16,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,quarter_finals,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,quarter_finals,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,quarter_finals,,
60,,,,,,,,,,,,,,,,,,,,,,,,,,,quarter_finals,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,,semifinals,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,semifinals,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,third_place,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,,final,,
